domain,time_bin,time_bin_order,size_bin,size_bin_order,n_trades,n_yes,n_no,slope_b,intercept_a,slope_stderr,mean_price,median_price,mu_tau,alpha_d,beta_d_tau,gamma_d_s,fitted_theta,residual
Crypto,0-1h,1,Single,1,624783,329761,295022,1.0363390412089286,0.01313024013544,0.0027978386188059,52.48743323681983,52.0,0.9873524512632972,0.0043084532145301,0.0229861756028845,-0.0540061484821755,0.960640931598536,0.0756981096103924
Crypto,0-1h,1,Small,2,1447956,672988,774968,1.0202186812183636,-0.0431617250675095,0.0008109024756998,46.74034060013389,52.0,0.9873524512632972,0.0043084532145301,0.0229861756028845,0.0061606137540242,1.020807693834736,-0.0005890126163723
Crypto,0-1h,1,Medium,3,1960893,907594,1053299,1.013146958066813,-0.0466705341256005,0.0002438452008531,46.98462010153697,51.0,0.9873524512632972,0.0043084532145301,0.0229861756028845,0.0244367040779598,1.0390837841586715,-0.0259368260918584
Crypto,0-1h,1,Large,4,1004894,456983,547911,0.9888836398287418,-0.0332136133887094,0.0001041881847055,46.29826043320382,52.0,0.9873524512632972,0.0043084532145301,0.0229861756028845,0.0234088306501914,1.038055910730903,-0.0491722709021612
Crypto,1-3h,2,Single,1,8560,3319,5241,0.9166656446931366,-0.1513495424090076,0.0241005045079793,41.05969626168224,46.0,0.9607234496134276,0.0043084532145301,0.0424802180204869,-0.0540061484821755,0.9535059723662692,-0.0368403276731326
Crypto,1-3h,2,Small,2,26148,10544,15604,1.1001768542038948,-0.1440401393625804,0.0061202195176143,42.38800625248241,48.0,0.9607234496134276,0.0043084532145301,0.0424802180204869,0.0061606137540242,1.013672734602469,0.0865041196014257
Crypto,1-3h,2,Medium,3,73394,26542,46852,0.999365617473654,-0.2433519578037007,0.0011721164435757,40.194587914699454,49.0,0.9607234496134276,0.0043084532145301,0.0424802180204869,0.0244367040779598,1.0319488249264046,-0.0325832074527505
Crypto,1-3h,2,Large,4,65347,23647,41700,1.013840367023093,-0.2753149468720754,0.0003930324280841,41.01145928417593,48.0,0.9607234496134276,0.0043084532145301,0.0424802180204869,0.0234088306501914,1.0309209514986362,-0.017080584475543
Crypto,3-6h,3,Single,1,6673,2664,4009,1.019903261971214,-0.2586675838260199,0.028016106648685,44.59238723212948,44.0,0.9692518828204472,0.0043084532145301,0.0821506760354171,-0.0540061484821755,1.001704863588219,0.0181983983829949
Crypto,3-6h,3,Small,2,23987,9426,14561,1.085916852833237,-0.0030757159914713,0.0060248640412712,39.44428781053563,44.0,0.9692518828204472,0.0043084532145301,0.0821506760354171,0.0061606137540242,1.0618716258244187,0.0240452270088182
Crypto,3-6h,3,Medium,3,69369,25627,43742,1.050526203999418,-0.087862068349014,0.0011922186698481,38.62218001249363,45.0,0.9692518828204472,0.0043084532145301,0.0821506760354171,0.0244367040779598,1.0801477161483544,-0.0296215121489364
Crypto,3-6h,3,Large,4,57624,22994,34630,1.0664977294777094,0.0225231462295072,0.0004239747349731,40.07761720470072,44.0,0.9692518828204472,0.0043084532145301,0.0821506760354171,0.0234088306501914,1.079119842720586,-0.0126221132428765
Crypto,6-12h,4,Single,1,6161,2488,3673,0.9068638948609904,-0.2651246948904306,0.0284206581473048,45.25661418600877,45.0,1.009973056225284,0.0043084532145301,-0.0683496697397629,-0.0540061484821755,0.8919256912178757,0.0149382036431146
Crypto,6-12h,4,Small,2,21324,7763,13561,0.882651777116627,-0.2287507917327536,0.005585415707411,37.56535151332209,43.0,1.009973056225284,0.0043084532145301,-0.0683496697397629,0.0061606137540242,0.9520924534540754,-0.0694406763374484
Crypto,6-12h,4,Medium,3,57215,20600,36615,0.9838017388403564,-0.1269400621766807,0.0012177482000837,38.41977779716415,45.0,1.009973056225284,0.0043084532145301,-0.0683496697397629,0.0244367040779598,0.9703685437780112,0.0134331950623453
Crypto,6-12h,4,Large,4,47177,17398,29779,1.0104099479822315,-0.1329965318760976,0.0004364224366817,39.00194960308512,43.0,1.009973056225284,0.0043084532145301,-0.0683496697397629,0.0234088306501914,0.9693406703502429,0.0410692776319887
Crypto,12-24h,5,Single,1,9108,3229,5879,0.8275580413441017,-0.3171403782630549,0.022110249017753,40.553798858146685,47.0,1.0033074188608255,0.0043084532145301,-0.0585374800488935,-0.0540061484821755,0.8950722435442865,-0.0675142022001847
Crypto,12-24h,5,Small,2,28172,10158,18014,0.9433537069039948,-0.1170020114382853,0.0052697395382919,36.81325081907536,46.0,1.0033074188608255,0.0043084532145301,-0.0585374800488935,0.0061606137540242,0.9552390057804864,-0.0118852988764914
Crypto,12-24h,5,Medium,3,64429,21930,42499,1.0227181427050809,-0.1070876565157555,0.0012977824170534,35.89453933880636,49.0,1.0033074188608255,0.0043084532145301,-0.0585374800488935,0.0244367040779598,0.973515096104422,0.0492030466006589
Crypto,12-24h,5,Large,4,34973,12428,22545,1.0026836771526713,-0.1411609264779667,0.00059380889712,36.0447482984571,47.0,1.0033074188608255,0.0043084532145301,-0.0585374800488935,0.0234088306501914,0.9724872226766536,0.0301964544760177
Crypto,24-48h,6,Single,1,2678,1623,1055,0.8834246856723746,0.0247483440888521,0.04605449567398,61.090739357729646,62.0,1.0393367311582364,0.0043084532145301,0.0875627399583702,-0.0540061484821755,1.0772017758489614,-0.1937770901765867
Crypto,24-48h,6,Small,2,6651,4106,2545,1.172518548544023,0.3063576727683254,0.0137359981856525,58.07278407775978,55.0,1.0393367311582364,0.0043084532145301,0.0875627399583702,0.0061606137540242,1.137368538085161,0.035150010458862
